"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"825967","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","104","Pelham - Throgs Neck","Summer 2022","2022-06-01T00:00:00.000","12.0",
"823492","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","307","Sunset Park (CD7)","Summer 2022","2022-06-01T00:00:00.000","6.7",
"827012","386","Ozone (O3)","Mean","ppb","CD","313","Coney Island (CD13)","Summer 2022","2022-06-01T00:00:00.000","37.7",
"827081","386","Ozone (O3)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2022","2022-06-01T00:00:00.000","31.7",
"827103","386","Ozone (O3)","Mean","ppb","UHF42","503","Willowbrook","Summer 2022","2022-06-01T00:00:00.000","34.8",
"823211","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","105","Midtown (CD5)","Summer 2022","2022-06-01T00:00:00.000","8.7",
"823241","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","401","Long Island City - Astoria","Summer 2022","2022-06-01T00:00:00.000","7.2",
"825903","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","303","East Harlem","Summer 2022","2022-06-01T00:00:00.000","13.0",
"823337","365","Fine particles (PM 2.5)","Mean","mcg/m3","Borough","2","Brooklyn","Summer 2022","2022-06-01T00:00:00.000","6.3",
"827065","386","Ozone (O3)","Mean","ppb","UHF34","304","Upper West Side","Summer 2022","2022-06-01T00:00:00.000","29.9",
"823418","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","209","Bensonhurst - Bay Ridge","Summer 2022","2022-06-01T00:00:00.000","6.0",
"827042","386","Ozone (O3)","Mean","ppb","CD","107","Upper West Side (CD7)","Summer 2022","2022-06-01T00:00:00.000","29.9",
"825793","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","102","Northeast Bronx","Summer 2022","2022-06-01T00:00:00.000","11.6",
"823262","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","304","Upper West Side","Summer 2022","2022-06-01T00:00:00.000","7.0",
"823516","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","315","Sheepshead Bay (CD15)","Summer 2022","2022-06-01T00:00:00.000","5.8",
"826333","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","313","Coney Island (CD13)","Summer 2022","2022-06-01T00:00:00.000","8.2",
"827002","386","Ozone (O3)","Mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","Summer 2022","2022-06-01T00:00:00.000","34.0",
"825885","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","407","Southwest Queens","Summer 2022","2022-06-01T00:00:00.000","9.7",
"827134","386","Ozone (O3)","Mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2022","2022-06-01T00:00:00.000","33.7",
"826360","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","404","Elmhurst and Corona (CD4)","Summer 2022","2022-06-01T00:00:00.000","12.2",
"827053","386","Ozone (O3)","Mean","ppb","UHF34","404406","Bayside Little Neck-Fresh Meadows","Summer 2022","2022-06-01T00:00:00.000","33.7",
"825745","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","211","Williamsburg - Bushwick","Summer 2022","2022-06-01T00:00:00.000","12.7",
"823537","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","404","Elmhurst and Corona (CD4)","Summer 2022","2022-06-01T00:00:00.000","6.8",
"825757","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","207","East Flatbush - Flatbush","Summer 2022","2022-06-01T00:00:00.000","10.2",
"823469","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","410","Rockaways","Summer 2022","2022-06-01T00:00:00.000","5.5",
"823483","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","304","Bushwick (CD4)","Summer 2022","2022-06-01T00:00:00.000","6.8",
"825894","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","402","West Queens","Summer 2022","2022-06-01T00:00:00.000","12.8",
"823295","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","204","East New York","Summer 2022","2022-06-01T00:00:00.000","6.4",
"825867","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","309310","Union Square-Lower Manhattan","Summer 2022","2022-06-01T00:00:00.000","14.8",
"823367","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","309310","Union Square-Lower Manhattan","Summer 2022","2022-06-01T00:00:00.000","7.5",
"825724","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","307","Gramercy Park - Murray Hill","Summer 2022","2022-06-01T00:00:00.000","19.6",
"827025","386","Ozone (O3)","Mean","ppb","CD","212","Williamsbridge and Baychester (CD12)","Summer 2022","2022-06-01T00:00:00.000","31.8",
"827028","386","Ozone (O3)","Mean","ppb","CD","209","Parkchester and Soundview (CD9)","Summer 2022","2022-06-01T00:00:00.000","32.9",
"823205","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","107","Upper West Side (CD7)","Summer 2022","2022-06-01T00:00:00.000","7.0",
"827109","386","Ozone (O3)","Mean","ppb","UHF42","407","Southwest Queens","Summer 2022","2022-06-01T00:00:00.000","35.2",
"826046","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","305","East New York and Starrett City (CD5)","Summer 2022","2022-06-01T00:00:00.000","10.7",
"823573","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","502","South Beach and Willowbrook (CD2)","Summer 2022","2022-06-01T00:00:00.000","5.9",
"826994","386","Ozone (O3)","Mean","ppb","CD","413","Queens Village (CD13)","Summer 2022","2022-06-01T00:00:00.000","34.7",
"826040","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","303","Bedford Stuyvesant (CD3)","Summer 2022","2022-06-01T00:00:00.000","11.9",
"823504","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","311","Bensonhurst (CD11)","Summer 2022","2022-06-01T00:00:00.000","6.0",
"825769","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2022","2022-06-01T00:00:00.000","11.4",
"823259","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","305","Upper East Side","Summer 2022","2022-06-01T00:00:00.000","7.1",
"825802","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","4","Queens","Summer 2022","2022-06-01T00:00:00.000","10.6",
"826992","386","Ozone (O3)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2022","2022-06-01T00:00:00.000","34.2",
"827147","386","Ozone (O3)","Mean","ppb","Borough","2","Brooklyn","Summer 2022","2022-06-01T00:00:00.000","34.7",
"827077","386","Ozone (O3)","Mean","ppb","UHF34","203","Bedford Stuyvesant - Crown Heights","Summer 2022","2022-06-01T00:00:00.000","33.7",
"825715","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","310","Lower Manhattan","Summer 2022","2022-06-01T00:00:00.000","16.7",
"823313","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","105","Crotona -Tremont","Summer 2022","2022-06-01T00:00:00.000","7.2",
"826034","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","301","Greenpoint and Williamsburg (CD1)","Summer 2022","2022-06-01T00:00:00.000","14.1",
"825712","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","401","Long Island City - Astoria","Summer 2022","2022-06-01T00:00:00.000","13.2",
"827035","386","Ozone (O3)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2022","2022-06-01T00:00:00.000","32.8",
"827006","386","Ozone (O3)","Mean","ppb","CD","401","Long Island City and Astoria (CD1)","Summer 2022","2022-06-01T00:00:00.000","33.6",
"823409","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","301","Washington Heights","Summer 2022","2022-06-01T00:00:00.000","7.2",
"825772","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","202","Downtown - Heights - Slope","Summer 2022","2022-06-01T00:00:00.000","13.4",
"826010","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","205","Fordham and University Heights (CD5)","Summer 2022","2022-06-01T00:00:00.000","13.7",
"823238","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","402","West Queens","Summer 2022","2022-06-01T00:00:00.000","6.9",
"823307","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","107","Hunts Point - Mott Haven","Summer 2022","2022-06-01T00:00:00.000","7.2",
"823454","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","101","Kingsbridge - Riverdale","Summer 2022","2022-06-01T00:00:00.000","7.1",
"823534","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","403","Jackson Heights (CD3)","Summer 2022","2022-06-01T00:00:00.000","6.8",
"827124","386","Ozone (O3)","Mean","ppb","UHF42","302","Central Harlem - Morningside Heights","Summer 2022","2022-06-01T00:00:00.000","30.9",
"827057","386","Ozone (O3)","Mean","ppb","UHF34","410","Rockaways","Summer 2022","2022-06-01T00:00:00.000","37.5",
"825736","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","303","East Harlem","Summer 2022","2022-06-01T00:00:00.000","13.0",
"823406","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","302","Central Harlem - Morningside Heights","Summer 2022","2022-06-01T00:00:00.000","7.1",
"823561","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","412","Jamaica and Hollis (CD12)","Summer 2022","2022-06-01T00:00:00.000","6.3",
"825852","375","Nitrogen dioxide (NO2)","Mean","ppb","Citywide","1","New York City","Summer 2022","2022-06-01T00:00:00.000","10.6",
"827145","386","Ozone (O3)","Mean","ppb","Borough","4","Queens","Summer 2022","2022-06-01T00:00:00.000","34.5",
"826111","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2022","2022-06-01T00:00:00.000","9.3",
"825964","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","201","Greenpoint","Summer 2022","2022-06-01T00:00:00.000","14.1",
"823436","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","203","Bedford Stuyvesant - Crown Heights","Summer 2022","2022-06-01T00:00:00.000","6.5",
"827017","386","Ozone (O3)","Mean","ppb","CD","308","Crown Heights and Prospect Heights (CD8)","Summer 2022","2022-06-01T00:00:00.000","33.4",
"825778","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","107","Hunts Point - Mott Haven","Summer 2022","2022-06-01T00:00:00.000","13.4",
"827029","386","Ozone (O3)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2022","2022-06-01T00:00:00.000","30.2",
"827023","386","Ozone (O3)","Mean","ppb","CD","302","Fort Greene and Brooklyn Heights (CD2)","Summer 2022","2022-06-01T00:00:00.000","31.6",
"826019","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2022","2022-06-01T00:00:00.000","10.6",
"826363","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","Summer 2022","2022-06-01T00:00:00.000","11.2",
"823217","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","409","Southeast Queens","Summer 2022","2022-06-01T00:00:00.000","6.1",
"827060","386","Ozone (O3)","Mean","ppb","UHF34","407","Southwest Queens","Summer 2022","2022-06-01T00:00:00.000","35.2",
"825921","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","208","Canarsie - Flatlands","Summer 2022","2022-06-01T00:00:00.000","8.6",
"823427","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","206","Borough Park","Summer 2022","2022-06-01T00:00:00.000","6.2",
"825927","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","206","Borough Park","Summer 2022","2022-06-01T00:00:00.000","10.1",
"827031","386","Ozone (O3)","Mean","ppb","CD","206","Belmont and East Tremont (CD6)","Summer 2022","2022-06-01T00:00:00.000","31.9",
"827114","386","Ozone (O3)","Mean","ppb","UHF42","402","West Queens","Summer 2022","2022-06-01T00:00:00.000","33.6",
"825784","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","105","Crotona -Tremont","Summer 2022","2022-06-01T00:00:00.000","13.6",
